
"Explore Library","2025-02-19","Michael Richardson","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","White","Irish","","","",""
"Explore Library","2025-02-19","Michael Richardson","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","White","Irish","","","",""
"Explore Library","2025-02-04","Super TEs1","Referred","2","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","White","Irish","","","",""
"Explore Library","2025-02-04","Super TEs1","Referred","2","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","White","Irish","","","",""
"Explore Library","2025-02-12","fourtest1 ","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","Mixed / Multiple ethnic groups","White and Black African","","","",""
"Explore Library","2025-02-12","fourtest1","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Female","Mixed / Multiple ethnic groups","White and Black African","","","",""
"Explore Library","2025-02-01","fourtest1 ","Referred","0","0","0","0","0","0","0","0","0","0","0","0","41-50","YO1","Male","Mixed / Multiple ethnic groups","White and Black Caribbean","","","",""
"Explore Library","2025-02-01","fourtest1","Referred","0","0","0","0","0","0","0","0","0","0","0","0","41-50","YO1","Male","Mixed / Multiple ethnic groups","White and Black Caribbean","","","",""
"Explore Library","2025-01-27","YEAHHHH","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Non-Binary","Mixed / Multiple ethnic groups","White and Black Caribbean","","","",""
"Explore Library","2025-01-27","YEAHHHH","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Non-Binary","Mixed / Multiple ethnic groups","White and Black Caribbean","","","",""
"Explore Library","2025-03-05","YEAHHHH2","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Non-Binary","Mixed / Multiple ethnic groups","White and Black African","","","",""
"Explore Library","2025-03-05","YEAHHHH2","Referred","0","0","0","0","0","0","0","0","0","0","0","0","31-40","YO1","Non-Binary","Mixed / Multiple ethnic groups","White and Black African","","","",""
"Explore Library","2025-02-20","YEAHHHH5","Referred","0","0","0","0","0","0","0","0","0","0","0","0","18-30","YO1","Female","Mixed / Multiple ethnic groups","White and Asian","","","",""
"TESTING","2025-02-13","Michael Richardson","how  much text can this areas take? I wodner lksd ;slkh ;daskjf skaljf skljhf lksdjhf \lkshf lk\sjd","","","","","","","","","","","","","18-30","yo244jl","Male","White","Irish","Information, Advice and Guidance Offered","Introduced to Community Activity","Onward to Adult Social Care",""
"Explore Library","2025-02-19","Michael Richardson","how  much text can this areas take? I wodner lksd ;slkh ;daskjf skaljf skljhf lksdjhf \lkshf lk\sjd","","","","","","","","","","","","","","yo244jl","","White","","","","",""
"Explore Library","2025-03-05","Michael Richardson","how  much text can this areas take? I wodner lksd ;slkh ;daskjf skaljf skljhf lksdjhf \lkshf lk\sjd","","","","","","","","","","","","","","yo244jl","","White","","","","",""
"Explore Library","2025-02-26","Michael Richardson","how  much text can this areas take? I wodner lksd ;slkh ;daskjf skaljf skljhf lksdjhf \lkshf lk\sjd","","","","","","","","","","","","","","yo244jl","","White","","","","",""
"Explore Library","2025-02-25","Michael Richardson","how  much text can this areas take? I wodner lksd ;slkh ;daskjf skaljf skljhf lksdjhf \lkshf lk\sjd","","","","","","","","","","","","","","yo244jl","","White","","","","",""
"Explore Library","2025-02-28","Michael Richardson","TESTING","","","","","","","","","","","","","","yo244jl","","White","","","","",""
"Explore Library","2025-03-09","Michael Richardson","TESTING","2","","2","","","","","","","3","","","31-40","YAB1","Male","Mixed / Multiple ethnic groups","White and Asian","Introduction to Health Colleagues","Introduced to Community Activity","Introduced to Community Activity","THis is the note!"
"Explore Library","2025-02-13","Michael Richardson","TESTING","1","1","0","1","2","2","4","2","1","0","0","2","31-40","YAB1","Female","White","Gypsy or Irish Traveller","Introduced to Community Activity","Introduction to Health Colleagues","Onward to Adult Social Care",""
"Explore Library","2025-02-20","Michael Richardson","Loneliness and isolation","0","2","1","1","1","1","0","1","1","0","1","2","18-30","YO2","Male","White","English / Welsh / Scottish / Northern Irish / British","Information, Advice and Guidance Offered","Information, Advice and Guidance Offered","Information, Advice and Guidance Offered",""
"OK","2025-02-24","Michael Richardson","OK","","","","","","","","","","","","","","yo244jl","","","","","","",""
